Unit name	Enabled	Latitude(°)	Longitude(°)	Elevation(m)	Icon	Forecolor	Style	Backcolor	Text
Capitec Bank Durban Boland Bank House	1	-29.8599389	31.0128046	8.366670608520508	1	FFFFFF	0	0	
Standard Bank | Durban Abc Branch	1	-29.8588723	31.0221991	4.822076797485352	1	FFFFFF	0	0	
African Bank DBN Anton Lembede Street	1	-29.8602815	31.0213494	3.899690866470337	1	FFFFFF	0	0	
Capitec Bank Durban Wheel Shopping Centre	1	-29.858687	31.037651	4.469063758850098	1	FFFFFF	0	0	
FNB Bank- Durban	1	-29.8597604	31.0231155	3.235654830932617	1	FFFFFF	0	0	
Standard Bank | Anton Lembede Branch	1	-29.859197	31.0241716	4.464391708374023	1	FFFFFF	0	0	
Durban West Street 331	1	-29.858799	31.023459	3.469675064086914	1	FFFFFF	0	0	
Grindrod Bank Limited	1	-29.8467152	31.0294646	4.650954246520996	1	FFFFFF	0	0	
Durban West Street 448	1	-29.858897	31.018515	6.660406112670898	1	FFFFFF	0	0	
Durban Meeting	1	-29.860435	31.023132	3.510942459106445	1	FFFFFF	0	0	
Bidvest Bank	1	-29.8599812	31.0228354	2.504296064376831	1	FFFFFF	0	0	
Absa International Banking SA Durban	1	-29.860592	31.0258412	3.875443935394287	1	FFFFFF	0	0	
Absa | Branch | Durban City	1	-29.8595514	31.0244614	4.497433185577393	1	FFFFFF	0	0	
FNB Bank	1	-29.8540653	31.0317814	2.284838676452637	1	FFFFFF	0	0	
African Bank DBN Dr Pixley Kaseme Street	1	-29.858087	31.023962	3.770926952362061	1	FFFFFF	0	0	
Nedbank Durban Central 3	1	-29.858105	31.02337	3.238579750061035	1	FFFFFF	0	0	
South African Reserve Bank	1	-29.8560261	31.0282933	5.612449645996094	1	FFFFFF	0	0	
Standard Bank	1	-29.85887159999999	31.0221066	5.045934200286865	1	FFFFFF	0	0	
Standard Bank	1	-29.859808	31.017994	6.18550968170166	1	FFFFFF	0	0	
Ithala Bank	1	-29.8426706	31.0216847	10.26321792602539	1	FFFFFF	0	0	
